,age,marital,ever_defaulted,housing_loan,Personal_loan,y
3473,48,0,0,1,1,0
7231,36,0,0,0,0,0
25114,38,0,0,1,1,0
28356,60,1,0,0,0,0
31748,38,0,0,1,1,0
25883,34,0,0,1,0,1
573,34,0,0,1,0,0
28176,66,1,0,0,0,1
1288,32,1,0,1,0,0
26490,44,1,0,1,0,0
4408,31,0,0,0,0,0
15044,58,1,0,1,0,0
7850,51,1,0,1,0,0
28783,36,0,0,1,0,1
14384,50,0,0,1,0,0
25603,31,0,0,1,0,0
15884,47,1,0,0,0,0
13375,48,1,0,0,0,0
30733,28,0,0,1,0,1
22265,28,1,0,1,0,0
4989,33,1,0,1,0,0
9103,29,0,0,1,0,0
10608,54,1,0,0,0,0
30646,38,0,0,0,0,0
17702,49,1,0,0,0,0
9296,32,0,0,1,0,0
9722,44,1,0,1,0,0
4181,41,1,0,0,0,0
5925,32,0,0,1,0,0
7395,49,1,0,0,0,0
13540,45,1,0,0,0,0
1588,42,0,0,0,0,0
6914,34,1,0,1,0,0
13837,29,1,0,1,0,0
15758,35,1,0,0,0,0
7571,39,0,0,0,0,0
17534,29,0,0,1,0,0
24319,36,1,0,1,1,0
22137,81,1,0,1,0,0
26465,39,0,0,0,0,0
24311,49,0,0,1,0,0
25541,27,0,0,0,0,0
18529,35,0,0,1,0,0
15381,51,1,0,0,0,1
5653,42,0,0,0,0,0
22972,42,1,0,0,0,0
12711,28,0,0,0,0,0
31110,39,0,0,1,1,0
5436,36,0,0,0,0,0
24267,57,1,0,0,1,0
8267,40,1,0,0,0,0
3427,56,1,0,1,0,0
30523,78,0,0,0,0,1
11812,35,0,0,1,1,0
16030,38,1,0,1,0,0
29578,34,0,0,1,0,1
4227,29,1,0,1,0,0
25266,35,0,0,1,0,0
1412,50,1,0,0,0,0
22407,34,1,0,0,0,0
10324,35,1,0,0,0,1
31586,33,0,0,1,0,1
26079,27,0,0,0,0,0
3619,29,0,0,0,0,0
9134,32,1,0,1,0,0
24038,26,0,0,1,0,0
19000,40,0,0,1,0,0
5472,31,0,0,1,1,0
9124,42,0,0,1,0,0
25601,42,0,0,1,0,0
29683,30,0,0,0,0,1
30542,27,0,0,1,0,0
24096,40,1,0,0,0,0
6440,30,0,0,0,0,0
23642,25,0,0,1,1,0
7303,34,1,0,0,0,0
17601,30,0,0,0,0,1
24978,23,0,0,1,0,0
4817,30,1,0,1,0,0
13024,35,1,0,0,0,0
24940,28,0,0,1,0,1
7882,45,1,0,0,0,0
26257,49,1,0,0,0,0
24185,36,0,0,1,0,0
17836,35,1,0,1,0,0
12513,35,1,0,0,0,0
18087,48,0,0,1,0,0
22743,32,1,0,0,0,0
29106,70,1,0,1,0,0
1227,43,0,0,1,0,0
345,39,0,0,0,0,0
23550,41,1,0,1,0,0
21339,36,0,0,1,0,0
896,36,1,0,0,0,0
17788,31,0,0,0,0,0
5742,49,1,0,0,0,0
22713,54,0,0,1,0,0
10133,33,0,0,1,0,0
29428,28,1,0,0,0,1
20291,38,0,0,1,0,0
27974,35,0,0,1,0,1
29232,34,0,0,1,0,0
19030,43,0,0,1,1,0
16583,50,1,0,1,0,0
20342,53,0,0,1,0,0
27473,29,1,0,1,0,1
29360,26,1,0,0,1,0
26469,58,1,0,0,0,0
1441,34,1,0,0,1,0
6483,35,0,0,0,0,0
24431,26,0,0,1,1,0
29213,28,0,0,1,0,0
3601,33,1,0,0,0,0
27387,30,1,0,1,0,0
31220,43,1,0,0,0,1
12362,53,1,0,0,0,0
14401,57,1,0,0,0,0
12814,33,1,0,1,0,0
18836,38,1,0,1,0,0
6463,28,0,0,1,0,0
15288,42,1,0,0,0,0
26550,46,1,0,1,1,0
19405,32,1,0,0,0,0
17171,39,1,0,0,0,0
21338,37,1,0,1,0,0
7442,34,0,0,1,0,0
24667,39,0,0,1,0,0
1278,33,0,0,1,0,0
13458,46,0,0,0,0,0
21883,37,0,0,1,0,0
30515,36,1,0,0,0,0
15794,45,1,0,0,0,0
499,40,1,0,0,0,0
5987,40,1,0,0,0,0
4749,51,1,0,1,0,0
7793,51,1,0,1,0,0
29399,61,1,0,1,0,1
25666,49,1,0,1,1,0
23643,31,0,0,0,0,0
28388,36,0,0,0,0,1
25874,45,1,0,1,0,0
27731,24,0,0,0,1,1
21037,37,0,0,0,0,0
4028,43,1,0,0,0,0
19248,38,1,0,1,0,0
23913,38,1,0,1,0,0
10010,23,0,0,0,0,0
96,59,1,0,0,0,0
8778,53,1,0,1,1,0
10500,31,0,0,0,0,0
19684,45,1,0,0,0,0
21446,34,0,0,1,1,0
26383,47,1,0,0,0,0
28151,60,1,0,0,0,0
1660,36,1,0,0,0,0
26669,52,0,0,0,1,1
22185,29,0,0,1,0,0
29187,32,0,0,0,0,0
18917,44,0,0,1,0,0
5727,52,1,0,0,0,0
28008,48,0,0,0,0,0
1318,43,1,0,1,0,0
10325,35,1,0,0,0,0
5683,33,1,0,1,0,0
19812,29,0,0,1,0,1
8823,43,1,0,0,0,0
11466,47,1,0,0,0,0
12152,55,0,0,0,1,0
6821,28,0,0,0,0,0
6635,36,1,0,1,0,0
22176,56,1,0,0,0,0
10610,60,1,0,1,0,0
15181,32,0,0,1,0,0
1921,35,1,0,1,0,0
30094,26,0,0,1,1,1
5980,39,1,0,1,0,0
26712,18,0,0,1,0,0
9645,50,0,0,0,0,0
13166,35,1,0,1,0,0
17668,35,0,0,1,0,0
6631,30,1,0,1,0,0
11558,41,0,0,1,0,0
9378,30,1,0,0,1,0
18336,36,0,0,1,0,0
14694,44,1,0,1,0,0
18713,33,1,0,1,0,0
10094,36,0,0,0,0,0
5786,39,1,0,1,0,0
22111,30,0,0,0,0,1
24793,28,0,0,1,0,0
28474,51,1,0,1,1,1
16217,31,0,0,0,0,1
31690,34,1,0,1,0,0
17756,47,1,0,1,0,0
210,36,1,0,0,0,0
15687,42,0,0,0,0,0
23982,49,1,0,1,0,0
15807,33,1,0,0,0,0
3792,38,1,0,1,0,0
27921,40,1,0,0,0,0
31387,53,1,0,0,0,1
28954,42,0,0,1,0,1
1684,40,0,0,0,0,0
21708,57,1,0,1,0,0
28011,48,1,0,0,1,1
29397,34,1,0,1,0,1
31602,28,0,0,1,0,0
13251,33,1,0,0,0,0
30258,52,1,0,0,0,1
3058,32,1,0,0,0,0
5658,32,0,0,0,0,0
17098,52,0,0,1,0,0
9926,50,1,0,1,0,0
3115,29,0,0,0,0,0
27873,27,0,0,0,0,0
15496,40,1,0,1,0,0
2730,27,1,0,1,0,0
27471,32,0,0,1,0,0
18502,36,0,0,1,0,0
24897,28,1,0,1,0,0
16728,34,1,0,1,0,0
10203,49,0,0,1,0,0
26265,34,0,0,1,0,0
8048,39,1,0,0,0,0
2004,41,1,0,1,0,0
8513,57,1,0,1,0,0
6596,48,1,0,0,0,0
18441,49,0,0,0,0,0
13148,35,0,0,1,0,0
14127,47,1,0,0,0,0
28795,62,1,0,1,0,1
19908,59,0,0,1,0,0
24919,31,0,0,1,0,1
21742,39,0,0,1,1,0
5554,35,1,0,1,0,0
30304,29,0,0,0,0,1
31105,36,0,0,0,0,1
15244,30,1,0,1,0,0
27997,34,1,0,1,0,0
29834,34,0,0,1,0,1
23249,39,1,0,1,1,0
26872,55,1,0,1,0,0
15440,29,0,0,1,0,0
19182,34,0,0,1,0,0
7346,41,1,0,0,0,0
17712,32,1,0,0,0,0
1555,39,0,0,0,0,0
20311,39,1,0,1,0,0
18487,53,1,0,1,0,0
29262,61,1,0,0,0,1
21283,38,1,0,1,0,1
13793,31,0,0,1,0,0
21795,37,1,0,1,0,0
4707,28,1,0,0,0,0
31535,54,1,0,1,0,0
13108,33,1,0,1,1,0
21940,23,0,0,0,0,1
25211,30,1,0,0,0,0
21875,32,1,0,1,1,0
30933,37,1,0,1,0,1
7567,38,1,0,1,0,0
18496,42,1,0,1,0,0
15473,31,0,0,0,0,0
10202,47,0,0,1,0,0
10198,31,0,0,1,0,0
6316,33,1,0,0,0,0
24046,26,0,0,1,1,0
3594,30,0,0,0,1,0
10063,58,1,0,1,0,0
15503,54,1,0,0,0,0
11686,28,0,0,1,0,0
11768,54,1,0,0,0,0
3282,54,1,0,1,0,0
17681,34,1,0,0,0,0
14146,35,1,0,0,0,0
27006,26,0,0,0,0,0
30373,69,1,0,0,0,1
6268,37,1,0,0,0,0
20697,59,1,0,0,0,1
26923,28,1,0,0,0,1
19841,34,0,0,0,0,0
22395,53,0,0,1,0,1
3588,31,0,0,1,0,0
2868,30,0,0,1,0,0
24539,36,1,0,1,0,0
28455,37,0,0,0,0,0
12624,32,1,0,1,0,0
2388,35,1,0,1,1,0
7286,57,1,0,1,0,0
20063,38,1,0,0,0,1
2958,31,1,0,1,0,0
7427,45,1,0,1,1,0
21763,35,1,0,1,0,0
3242,29,0,0,1,0,0
11495,45,1,0,0,0,0
31601,37,1,0,1,1,1
8761,33,1,0,0,0,0
18655,31,1,0,0,0,0
14946,31,1,0,0,0,0
21206,37,1,0,1,0,0
31331,35,1,0,1,0,0
26879,54,0,0,1,0,0
1837,28,0,0,0,0,0
7721,35,0,0,0,0,0
14149,37,0,0,0,0,0
2798,30,0,0,0,0,0
22128,34,1,0,0,0,0
2201,58,0,0,1,0,0
11056,25,0,0,1,0,1
27662,26,0,0,1,0,0
23163,37,0,0,0,0,0
20634,30,0,0,1,0,1
20731,42,1,0,1,1,0
21624,56,1,0,1,0,0
6657,30,0,0,0,0,0
12590,52,1,0,0,0,0
11574,39,0,0,1,0,0
13657,52,1,0,0,0,0
31081,66,0,0,1,0,1
14987,44,1,0,1,0,0
12628,32,0,0,0,1,0
20720,71,1,0,0,0,0
27606,57,1,0,0,0,1
29879,34,0,0,0,0,1
13991,29,1,0,0,0,0
4636,44,0,0,0,0,0
9222,30,1,0,0,0,0
21647,31,0,0,1,0,0
22741,36,1,0,1,1,0
21460,35,1,0,0,0,0
26278,27,0,0,0,0,0
19976,42,0,0,1,0,0
21274,36,1,0,0,0,0
29017,49,0,0,0,0,0
26944,41,1,0,1,0,1
2879,37,1,0,1,0,0
21006,44,1,0,1,0,0
9401,51,0,0,0,0,0
7609,34,1,0,1,0,0
14919,48,1,1,0,0,0
13935,31,0,0,1,0,0
18821,31,0,0,0,0,0
13208,38,1,0,0,1,0
29039,28,1,0,1,0,1
14194,31,0,0,1,0,0
13291,33,0,0,0,0,0
7174,45,1,0,1,0,0
491,32,1,0,1,0,0
18943,58,1,0,0,0,0
22545,41,1,0,1,0,0
16201,40,1,0,1,0,1
28115,49,1,0,1,0,0
10527,56,1,0,0,0,0
22954,43,1,0,1,0,0
25641,23,0,0,0,1,1
23450,27,0,0,1,0,0
13533,31,1,0,1,0,0
19130,56,0,0,0,0,0
23725,38,1,0,1,0,0
19074,50,1,0,1,0,0
1668,33,0,0,0,0,0
13250,31,1,0,1,1,0
28927,58,1,0,0,1,0
11253,44,1,0,0,0,0
18927,38,0,0,1,0,0
12701,38,1,0,0,0,1
3014,31,0,0,0,1,0
22049,79,1,0,1,0,1
30952,62,1,0,0,0,1
9051,30,1,0,0,0,0
29637,31,1,0,1,0,0
16418,37,0,0,1,0,0
23924,29,1,0,0,0,0
4813,37,1,0,1,0,0
2867,50,1,0,0,0,0
16119,38,1,0,0,0,0
22274,49,1,0,1,0,1
3706,29,1,0,1,0,0
20801,52,1,0,0,0,0
11359,38,1,0,0,0,0
4584,46,1,0,0,0,0
9920,44,1,0,0,0,0
16882,30,1,0,1,0,0
28735,18,0,0,0,0,0
10755,44,0,0,1,0,0
10476,32,0,0,1,0,1
25689,33,0,0,1,0,0
7779,38,1,0,0,0,1
25480,36,0,0,1,0,0
22372,50,1,0,1,0,1
19806,44,1,0,1,0,0
8358,43,1,0,1,0,0
14972,29,0,0,1,0,0
23896,55,1,0,0,0,0
28919,37,0,0,0,0,1
19125,41,0,0,1,0,0
9747,38,0,0,1,0,0
2034,58,0,0,0,0,0
7542,46,0,0,1,0,0
18094,32,0,0,1,0,0
26837,65,1,0,0,0,0
15324,30,1,0,1,1,0
12113,41,1,0,1,0,0
26696,83,1,0,1,1,0
5859,46,0,0,0,0,0
9003,39,1,0,1,0,0
7880,42,0,0,0,0,0
27063,32,1,0,1,0,1
1188,46,0,0,1,0,0
7676,44,1,0,1,0,0
31109,28,1,0,0,0,0
28581,24,0,0,1,0,0
28908,43,0,0,0,0,0
5556,31,0,0,1,0,0
4450,35,0,0,1,1,0
2943,39,1,0,1,1,0
3263,34,1,0,1,1,0
1109,26,1,0,1,1,0
28765,42,1,0,1,0,1
9405,38,0,0,1,0,0
16564,31,0,0,1,1,0
17752,39,1,0,0,0,0
2464,48,1,0,0,0,0
25952,46,0,0,0,0,0
16492,31,0,0,1,0,0
29503,52,1,0,1,0,1
15684,30,0,0,0,1,0
27268,31,0,0,0,0,1
15176,48,1,0,0,0,0
28757,91,1,0,0,1,0
8370,30,0,0,1,0,0
1610,35,1,0,0,0,0
10700,27,0,0,1,0,0
22228,29,0,0,0,0,0
28794,62,1,0,0,0,1
3916,46,1,0,1,0,0
16097,37,1,0,0,0,0
8674,35,1,0,0,0,0
4220,47,1,0,1,0,0
13887,32,0,0,1,0,0
9971,34,1,0,1,0,0
26365,30,0,0,1,0,0
26194,31,0,0,1,0,0
14526,41,1,0,1,0,0
24245,38,1,0,0,1,0
19292,36,1,0,0,0,0
23945,27,1,0,0,1,0
17867,50,0,0,0,0,0
5715,49,0,0,1,0,0
12032,54,0,0,1,0,0
30525,78,0,0,0,0,1
1090,31,1,0,0,0,0
8922,51,1,0,0,0,0
29350,37,0,0,0,0,0
28999,36,0,0,0,0,0
22905,48,1,0,0,0,0
27403,36,1,0,0,0,1
18054,48,0,0,1,0,0
15788,48,1,0,1,0,0
5623,36,0,0,1,1,0
4170,42,0,0,0,0,0
29978,75,1,0,0,0,1
31020,46,1,0,1,0,1
19180,43,1,0,1,1,0
12560,37,0,0,1,0,0
6760,44,1,0,1,0,0
27300,29,1,0,1,0,0
9774,29,1,0,1,0,0
14467,30,1,0,0,0,0
1092,37,1,0,1,1,0
22940,45,0,0,1,1,0
4902,50,1,0,1,0,0
16550,53,1,0,0,0,0
18373,30,1,0,1,0,0
1328,48,1,0,1,0,0
22570,36,1,0,1,0,0
26707,40,0,0,1,0,0
8819,36,1,0,1,0,1
14499,58,1,0,1,0,0
222,33,1,0,1,0,0
8672,32,1,0,0,1,0
12058,55,0,0,1,0,0
10475,47,0,0,1,0,0
8735,48,1,0,1,0,0
7397,41,0,0,0,0,0
23395,34,1,0,1,0,0
18025,38,0,0,0,0,0
27573,64,1,0,1,0,0
25455,39,1,0,0,0,0
14218,47,0,0,0,0,0
21107,44,1,0,0,0,0
29185,55,1,0,1,0,0
16823,36,1,0,0,0,1
428,43,1,0,0,1,0
13607,38,1,0,1,0,0
2497,41,1,0,1,0,0
8710,49,0,0,1,0,0
24302,57,1,0,1,0,0
30752,29,0,0,1,0,1
2240,31,1,0,0,0,0
18112,35,1,0,0,0,0
24575,33,0,0,1,0,0
17590,39,1,0,1,0,0
16974,54,1,0,0,0,0
25900,36,0,0,1,0,0
16547,29,0,0,1,0,0
24110,39,0,0,1,0,0
3077,32,1,0,0,0,0
3901,44,0,0,0,1,0
21842,41,1,0,0,0,0
22552,29,0,0,0,0,0
15703,59,1,0,0,0,0
15637,31,1,0,0,0,0
25481,38,0,0,1,1,1
23070,33,1,0,0,0,0
26424,29,0,0,1,0,0
9779,48,0,0,1,1,0
24691,28,0,0,1,0,1
15705,48,1,0,0,0,0
5284,26,1,0,0,0,1
16614,40,0,0,1,0,0
26889,42,1,0,0,0,0
11012,27,0,0,0,0,1
21261,32,0,0,1,0,1
4641,40,1,0,1,0,0
10560,25,0,0,0,0,0
9212,55,1,0,1,0,1
24738,42,1,0,0,0,0
8355,36,1,0,1,0,0
18154,29,0,0,0,0,1
3425,44,1,0,0,0,0
19080,53,0,0,1,0,0
30910,34,0,0,1,0,1
11403,43,1,0,1,0,0
14229,32,0,0,1,0,0
19266,38,0,0,1,0,0
27038,32,1,0,1,1,0
29231,32,0,0,0,0,1
19612,57,1,0,1,0,0
31629,60,1,0,0,1,0
24936,43,1,0,0,1,0
4421,33,1,0,0,0,0
25516,36,1,0,1,1,0
15105,45,1,0,1,0,0
7375,40,0,0,0,0,0
13692,53,1,0,1,0,0
20298,30,1,0,1,0,0
8139,39,0,0,1,0,0
13317,52,1,0,1,0,0
17550,39,0,0,1,1,0
23692,35,1,0,1,0,0
23828,35,0,0,0,0,1
12567,36,0,0,1,0,0
31466,65,1,0,1,0,0
12200,31,0,0,0,1,0
30401,29,1,0,0,0,1
733,33,1,0,1,0,0
31166,71,1,0,0,0,0
21759,31,0,0,1,0,0
28346,65,1,0,0,0,0
27235,30,0,0,0,0,0
3829,38,0,0,0,0,1
4393,42,1,0,1,0,0
13000,53,1,0,0,0,0
15648,38,0,0,1,1,0
10078,40,1,0,1,0,0
6392,39,1,0,1,0,0
2141,35,0,0,1,0,0
18451,36,1,0,1,0,0
2231,34,1,0,1,0,0
13420,35,1,0,0,0,0
9315,51,0,0,0,0,0
26099,35,1,0,1,0,0
13599,35,0,0,1,0,0
23519,31,1,0,0,0,0
28317,58,0,0,0,0,1
30379,70,0,0,1,0,1
22997,34,0,0,1,0,0
24448,28,0,0,1,1,0
4851,32,1,0,1,0,0
23175,29,0,0,0,0,0
266,41,1,0,0,0,0
14705,42,1,0,1,1,0
12554,42,0,0,0,1,0
13326,37,0,0,0,1,0
10269,26,0,0,1,1,0
11402,47,1,0,1,0,1
14927,32,0,0,0,0,0
18924,36,1,0,1,0,0
28624,48,1,0,0,0,0
2140,32,0,0,0,0,0
5260,43,1,0,0,0,0
8451,31,1,0,1,0,0
8777,25,1,0,1,0,0
27796,41,1,0,1,0,0
18247,51,0,0,1,0,1
28160,26,0,0,1,0,1
19061,34,0,0,1,1,1
18411,31,0,0,0,0,0
19849,51,0,0,1,0,0
2308,58,1,0,0,0,0
22224,36,1,0,1,0,1
23018,34,1,0,0,1,0
196,54,0,0,1,0,0
15801,29,0,0,0,0,0
14096,31,0,0,1,0,0
21950,55,1,0,0,1,1
729,43,0,0,1,0,0
4165,29,1,0,0,0,0
27608,34,1,0,1,0,0
11487,33,0,0,0,0,0
3470,32,1,0,0,0,0
27322,33,0,0,0,0,0
31297,33,1,0,0,0,0
9932,50,0,0,1,0,0
5844,49,0,0,0,0,0
4058,27,0,0,0,0,0
10083,27,0,0,0,0,0
8151,42,1,0,0,0,0
15045,32,0,0,1,0,0
5879,41,1,0,0,0,0
16930,48,1,0,0,0,0
28285,72,0,0,1,1,0
22995,54,0,0,1,1,0
7978,36,0,0,1,0,0
2885,45,0,0,0,0,0
22189,49,1,0,0,0,0
3780,31,1,0,0,0,0
3735,26,0,0,1,0,0
12584,35,1,0,1,0,0
6319,35,0,0,1,0,0
8960,42,1,0,1,0,0
8651,52,1,0,0,0,0
11225,46,1,0,1,0,0
31565,44,1,0,1,1,0
8319,42,1,0,0,0,0
408,30,0,0,1,0,0
7341,39,0,0,1,0,0
10696,32,1,0,0,0,0
29521,40,0,0,1,0,0
20575,37,1,0,0,0,0
25913,27,0,0,0,1,0
6039,33,0,0,0,1,0
12836,39,0,0,0,0,0
7109,37,0,0,1,0,0
16168,47,1,0,1,0,0
25569,50,0,0,1,0,0
27960,58,1,0,0,0,0
23686,39,0,0,1,0,0
14898,37,0,0,1,0,0
16143,47,1,0,0,0,0
6224,46,1,0,0,0,0
2678,32,0,0,1,0,0
22275,29,0,0,1,0,0
26902,27,1,0,1,0,0
4977,38,1,0,0,0,0
23343,36,0,0,1,0,0
1255,34,1,0,1,0,0
29290,69,1,0,1,1,1
996,54,1,0,1,0,0
18566,36,0,0,1,0,0
17744,43,1,0,0,0,0
15666,30,1,0,0,0,0
26205,36,1,0,1,1,0
27919,59,1,0,1,0,1
2168,54,0,0,0,0,0
25450,27,0,0,1,1,0
12610,42,1,0,0,1,0
1298,37,0,0,0,0,0
5407,42,1,0,0,0,0
4915,37,0,0,0,0,0
22942,39,0,0,1,0,0
19451,54,1,0,1,0,0
6425,50,0,0,0,0,0
17822,44,0,0,1,0,0
8634,27,0,0,0,0,0
19952,51,1,0,1,0,0
273,58,1,0,0,0,0
19099,30,1,0,1,1,0
4341,41,0,0,1,0,0
23832,41,1,0,0,0,0
3660,41,0,0,0,1,0
31051,26,0,0,0,0,1
19674,42,1,0,0,0,0
13162,54,0,0,0,0,0
22022,38,1,0,1,0,0
3154,40,0,0,1,0,0
6778,36,0,0,1,0,0
17335,32,0,0,0,0,0
25893,54,1,0,1,0,0
16031,49,1,0,1,0,0
27476,37,1,0,1,0,0
15731,33,1,0,1,1,0
21326,47,0,0,0,1,0
31580,80,1,0,1,0,1
24269,46,1,0,0,0,1
21640,45,1,0,0,0,0
22217,37,1,0,1,0,0
14180,41,1,0,1,0,1
24086,31,0,0,0,0,1
16010,46,1,0,0,0,0
12649,38,1,0,1,0,0
20532,27,0,0,1,0,0
8442,52,1,0,1,0,0
5671,34,0,0,0,0,0
5034,30,1,0,0,0,0
31599,25,0,0,0,0,1
26127,41,1,0,1,0,0
2229,25,0,0,1,0,0
21739,48,0,0,1,0,0
3193,30,1,0,0,0,0
17688,38,1,0,1,0,0
6453,42,1,0,0,0,0
8344,51,1,0,0,1,0
423,32,1,0,1,0,0
26576,39,1,0,1,0,0
6478,50,1,0,0,0,0
11547,43,1,0,0,0,0
3248,29,1,0,0,0,0
9188,41,0,0,1,0,0
12138,56,0,0,0,0,0
1427,39,1,0,1,0,0
4080,39,0,0,1,0,1
16382,36,0,0,1,1,0
10091,51,1,0,1,0,0
25842,34,1,0,1,1,0
2536,39,1,0,0,0,0
14121,34,0,0,1,0,0
16070,59,1,0,1,0,0
21143,57,0,0,1,0,0
3673,49,1,0,1,0,0
28150,27,0,0,1,0,0
19468,45,0,0,0,0,0
6902,36,0,0,1,0,0
16683,52,1,0,0,0,0
23822,39,1,0,1,1,0
9942,40,0,0,0,1,0
6309,26,1,0,0,0,0
24882,33,0,0,0,0,0
22000,38,0,0,0,0,1
13044,30,0,0,1,0,0
5576,33,1,0,0,0,0
12193,55,1,0,1,0,0
16239,45,0,0,1,0,0
8047,23,1,0,0,1,0
30000,28,0,0,0,0,0
9000,27,0,0,1,0,0
